GOOD_NAME,ADG_CODE,ADG_CODE_CLEANED,GOOD_NAME_CLEANED,weight_g,weight_kg,volume_ml,volume_l,count,size,BRAND,BRAND_CONFIDENCE,CATEGORY,GOOD_NAME_NORMALIZED,price_amd,quantity_kg,IS_MISSING_BRAND,HAS_MEASUREMENT,NAME_LENGTH,WORD_COUNT,PRODUCT_ID
Մարիաննա Կաթ Ուլտրա 0.5լ,401.0,401,Մարիաննա Կաթ Ուլտրա 0 5լ,0.0,0.0,5000.0,5.0,0.0,0,Marianna,1.0,Food Products,Կաթ Ուլտրա 0,0.0,0.0,0,1,24,5,1079
Կաթ պաստերացված 3․2% 750մլ ապ․տ Մարիաննա,401.0,401,Կաթ պաստերացված 3 2 750մլ ապ տ Մարիաննա,0.0,0.0,750.0,0.0,0.0,0,Marianna,0.8,Food Products,Կաթ պաստերացված 3 2 ապ տ,0.0,0.0,0,1,39,8,1617
ՍԵՐՈՒՑՔ ՄԱՐԻԱՆՆԱ 10% 500ՄԼ,401.0,401,ՍԵՐՈՒՑՔ ՄԱՐԻԱՆՆԱ 10 500ՄԼ,0.0,0.0,500.0,0.0,0.0,0,Marianna,1.0,Other,ՍԵՐՈՒՑՔ 10,0.0,0.0,0,1,25,4,1836
Մարիաննա յոգուրտ բադիկ 115գ,401.0,401,Մարիաննա յոգուրտ բադիկ 115գ,115.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,յոգուրտ բադիկ,0.0,0.0,0,1,27,4,1131
Կաթ ''Մարիաննա''  1լ,401.0,401,Կաթ Մարիաննա 1լ,0.0,0.0,1000.0,1.0,0.0,0,Marianna,1.0,Food Products,Կաթ,0.0,0.0,0,1,15,3,1907
Կաթ «Մարիաննա» 3.2% 450մլ թ/տ,401.0,401,Կաթ Մարիաննա 3 2 450մլ թ/տ,0.0,0.0,450.0,0.0,0.0,0,Marianna,1.0,Food Products,Կաթ 3 2 թ/տ,0.0,0.0,0,1,26,6,1344
Մարիաննա թթվասեր 18%% 400գր,401.0,401,Մարիաննա թթվասեր 18 400գր,400.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,թթվասեր 18,0.0,0.0,0,1,25,4,801
"Սերուցք Մարիաննա 0,5լ. (հատ)",401.0,401,Սերուցք Մարիաննա 0 5լ հատ,0.0,0.0,5000.0,5.0,0.0,0,Marianna,1.0,Other,Սերուցք 0 հատ,0.0,0.0,0,1,25,5,1513
"Կրեմ ""Մարիաննա"" 27% 500մլ",401.0,401,Կրեմ Մարիաննա 27 500մլ,0.0,0.0,500.0,0.0,0.0,0,Marianna,1.0,Cosmetics,Կրեմ 27,0.0,0.0,0,1,22,4,1500
Սմետան մեծ Մարիաննա,401.0,401,Սմետան մեծ Մարիաննա,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,Սմետան մեծ,0.0,0.0,0,0,19,3,863
Marianna կաթնաշոռային պանիր 180գ,402.0,402,Marianna կաթնաշոռային պանիր 180գ,180.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,կաթնաշոռային պանիր,0.0,0.0,0,1,32,4,720
Ըմպելի Յոգուրտ <<Մարիաննա>> 1.5% 27,403.0,403,Ըմպելի Յոգուրտ Մարիաննա 1 5 27,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Ըմպելի Յոգուրտ 1 5 27,0.0,0.0,0,0,30,6,1962
ՄԱՐԻԱՆՆԱ ՄԱԾՈՒՆ ՄԵԾ ,403.0,403,ՄԱՐԻԱՆՆԱ ՄԱԾՈՒՆ ՄԵԾ,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,ՄԱԾՈՒՆ ՄԵԾ,0.0,0.0,0,0,19,3,933
Մարիաննա Կեֆիր 450գ,403.0,403,Մարիաննա Կեֆիր 450գ,450.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Կեֆիր,0.0,0.0,0,1,19,3,113
Յոգուրտ ըմպելի  Մարիաննա 270 գ,403.0,403,Յոգուրտ ըմպելի Մարիաննա 270 գ,270.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Յոգուրտ ըմպելի,0.0,0.0,0,1,29,5,1091
Յոqուրտ ըմպելի մարիաննա 300q ազնվամ,403.0,403,Յոqուրտ ըմպելի մարիաննա 300q ազնվամ,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,Յոqուրտ ըմպելի 300q ազնվամ,0.0,0.0,0,0,35,5,1557
