GOOD_NAME_CLEANED,GOOD_NAME_NORMALIZED,ADG_CODE_CLEANED,BRAND,CATEGORY,weight_g,volume_ml,count
Կոնյակ Ararat Cherry 50ml,Կոնյակ Ararat Cherry,56,Unknown,Clothing,0.0,50.0,0.0
Coca Cola 0 33 Can,0 33 Can,56,Coca-Cola,Clothing,0.0,0.0,0.0
VILKA MRAMR VORAKOV 01877,VILKA MRAMR VORAKOV 01877,101,Unknown,Clothing,0.0,0.0,0.0
ՇՈԿ ՍԱԼԻԿ ՅԱՇԿԻՆՈ 52 90Գ,ՇՈԿ ՍԱԼԻԿ 52,101,Yashkino,Other,90.0,0.0,0.0
ՌՈՒԼԵՏ REDCAP ՅԱՇԿԻՆՈ,ՌՈՒԼԵՏ REDCAP,101,Yashkino,Other,0.0,0.0,0.0
կաթ մարիաննա 200մլ,կաթ,101,Marianna,Food Products,0.0,200.0,0.0
ԿԻՆԴԵՌ ԲՈՒԵՆՈ 43Գ,ԿԻՆԴԵՌ ԲՈՒԵՆՈ,101,Unknown,Other,43.0,0.0,0.0
Դարոինկ պրիանիկ,Դարոինկ պրիանիկ,101,Unknown,Other,0.0,0.0,0.0
ՊԵՉԵՆԻ ԼՈՎԻՏԱ ՌՈՇԵՆ 150Գ,ՊԵՉԵՆԻ ԼՈՎԻՏԱ,101,Roshen,Other,150.0,0.0,0.0
ԿՈԶԻՆԱԽ ՅԱՇԿԻՆՈ,ԿՈԶԻՆԱԽ,101,Yashkino,Other,0.0,0.0,0.0
ՄԱՏ ԱԹԵՆՔ 1ԿԳ,ՄԱՏ,101,Athenk,Other,1000.0,0.0,0.0
ԳՐԱՆԴ ՔԵՆԴԻ ԲԱԼԵՏ,ԲԱԼԵՏ,101,Grand Candy,Other,0.0,0.0,0.0
ԱՆԿՅՈՒՆ ՍՊԻՏԱԿ 35,ԱՆԿՅՈՒՆ ՍՊԻՏԱԿ 35,101,Unknown,Other,0.0,0.0,0.0
nescafe late,late,101,Nescafe,Clothing,0.0,0.0,0.0
ԱՐՏ ԱՐՄԵՆԻԱ ԳԻՆԻ,ԳԻՆԻ,101,Art Armenia,Beverages,0.0,0.0,0.0
կինդեռ սալիկ մեծ,կինդեռ սալիկ մեծ,101,Unknown,Other,0.0,0.0,0.0
Սափրվելու փրփուր Nivea Fresh Kick 200մլ,Սափրվելու փրփուր Fresh Kick,101,Nivea,Cosmetics,0.0,200.0,0.0
ՄԻԼԿԱ ՇՈԿՈԼԱԴ,ՇՈԿՈԼԱԴ,101,Milka,Food Products,0.0,0.0,0.0
ԱՆՁԵՌՈՑԻԿ ՍԻԼԿ ՍՈՖԹ 2շ 200հ,ԱՆՁԵՌՈՑԻԿ 2շ,101,Silk Soft,Household,0.0,0.0,200.0
Շոկ հավաքածու Roshen Liquor 150գր,Շոկ հավաքածու Liquor,101,Roshen,Clothing,150.0,0.0,0.0
ԶՈՒԳԱԳՈԻԼՊԱ ԱԼԵԿՍ ՊԵՐՖԵԿՏ 20 ԴԵՆ,ԶՈՒԳԱԳՈԻԼՊԱ ԱԼԵԿՍ ՊԵՐՖԵԿՏ 20 ԴԵՆ,101,Unknown,Other,0.0,0.0,0.0
ԿԱԹՆԱՇՈՌԱՅԻՆ ՊԱՆԻՐ ՄԱՐԻԱՆՆԱ 300 գ,ԿԱԹՆԱՇՈՌԱՅԻՆ ՊԱՆԻՐ,101,Marianna,Food Products,300.0,0.0,0.0
ՊԱՄՊԵՐՍ ԳԻԶՄՈ 5 ՀԱՄԱՐ ՀԱՏՈՎ,ԳԻԶՄՈ 5 ՀԱՄԱՐ ՀԱՏՈՎ,101,Pampers,Other,0.0,0.0,5.0
ՅԱՇԿԻՆՈ ԹԽՎԱՇՔ ՇՈԿՈԼԱԴԵ,ԹԽՎԱՇՔ ՇՈԿՈԼԱԴԵ,101,Yashkino,Food Products,0.0,0.0,0.0
ԱՏԱՄԻ ԽՈԶԱՆԱԿ ՔՈԼԳԵՅԹ ՊՐԵՄԻՈՒՄ,ԱՏԱՄԻ ԽՈԶԱՆԱԿ ՊՐԵՄԻՈՒՄ,101,Colgate,Other,0.0,0.0,0.0
ԺԻԼԵՏ ԲԼՅՈՒ 3 1ՀՏ,ԲԼՅՈՒ 3 1ՀՏ,101,Gillette,Clothing,0.0,0.0,1.0
ԱՆՁ ՍԻԼԿ ՍՈՖՏ ՎԻՏԱ 120Հ 3Շ,ԱՆՁ ՍԻԼԿ ՍՈՖՏ ՎԻՏԱ 3Շ,101,Unknown,Other,0.0,0.0,120.0
RACHKI ROSHEN,RACHKI,101,Roshen,Clothing,0.0,0.0,0.0
ԹԽՎ ՇԱՔ ՅԱՇԿԻՆՈ 220Գ,ԹԽՎ ՇԱՔ,101,Yashkino,Other,220.0,0.0,0.0
ՆԵՍԿԱՖԵ ԳՈԼԴ 75Գ,ԳՈԼԴ,101,Nescafe,Beverages,75.0,0.0,0.0
ՊԱՆԻՐ ՉԱՆԱԽ ՎԱԿՈՒՄ ՄԱՐԻԱՆՆԱ- ԿԳ,ՊԱՆԻՐ ՉԱՆԱԽ ՎԱԿՈՒՄ - ԿԳ,101,Marianna,Food Products,0.0,0.0,0.0
ԱԹԵՆՔ ՀԱՎԻ ԹԵՎԻԿՆԵՐ,ՀԱՎԻ ԹԵՎԻԿՆԵՐ,101,Athenk,Other,0.0,0.0,0.0
ՆԵՍԿԱՖԵ ԳՈԼԴ 47 5գ,ԳՈԼԴ 47,101,Nescafe,Beverages,5.0,0.0,0.0
ԳԻՆԻ 0 75Լ ԱՐՄԵՆԻԱ,ԳԻՆԻ 0 ԱՐՄԵՆԻԱ,101,Unknown,Beverages,0.0,75000.0,0.0
կանացի սպորտ 8300,կանացի սպորտ 8300,101,Unknown,Clothing,0.0,0.0,0.0
ROYAL ԼՑՈՆԱԾ ՊՂՊԵՂ ԳԱԶԱՐՈՎ 350Գ,ԼՑՈՆԱԾ ՊՂՊԵՂ ԳԱԶԱՐՈՎ,101,Royal,Clothing,350.0,0.0,0.0
ՀՈՏԱԶԵՐԾԻՉ ԺԻԼԵՏ ՍՏԻԿ ՍՊՈՐՏ 70ՄԼ,ՀՈՏԱԶԵՐԾԻՉ ՍՏԻԿ ՍՊՈՐՏ,101,Gillette,Cosmetics,0.0,70.0,0.0
ՍՈՒՐՃ ՆԵՍԿԱՖԵ ԳՈԼԴ ԱՊԱԿԻ 47Գ,ՍՈՒՐՃ ԳՈԼԴ ԱՊԱԿԻ,101,Nescafe,Beverages,47.0,0.0,0.0
ԼԱՄՊ ԼԵԴ 7Վ ԽՈՐՈԶ ՍՊԻՏԱԿ,ԼԱՄՊ ԼԵԴ 7Վ ԽՈՐՈԶ ՍՊԻՏԱԿ,101,Unknown,Other,0.0,0.0,0.0
ԿԻՆԴԵՌ ՔԱՐՏՍ 25 6գ,ԿԻՆԴԵՌ ՔԱՐՏՍ 25,101,Unknown,Other,6.0,0.0,0.0
ՆԵՐԿ ԳԱՌՆԻԵՌ,ՆԵՐԿ ԳԱՌՆԻԵՌ,101,Unknown,Cosmetics,0.0,0.0,0.0
ԹԽՎ MILKA CHOC CHOC 150G,ԹԽՎ CHOC CHOC,101,Milka,Clothing,150.0,0.0,0.0
ՍՈՒՐՃ ԼՈԻԾՎՈՂ ՌՈՅԱԼ ՏԱՅՄ Թ/Տ 100Գ,ՍՈՒՐՃ ԼՈԻԾՎՈՂ ՏԱՅՄ Թ/Տ,101,Royal,Beverages,100.0,0.0,0.0
ՁԻԹ ԿԱՆԱՉ ԿՈՐԻԶՈՎ 314 Թ/Տ,ՁԻԹ ԿԱՆԱՉ ԿՈՐԻԶՈՎ 314 Թ/Տ,101,Unknown,Other,0.0,0.0,0.0
ՋՐԻ ՇԻՇ SPORT,ՋՐԻ ՇԻՇ SPORT,101,Unknown,Clothing,0.0,0.0,0.0
ՎԱՖԼԻ ՌՈՇԵՆ ՖԱՄԻԼԻ 216ԳՐ,ՎԱՖԼԻ ՖԱՄԻԼԻ,101,Roshen,Food Products,216.0,0.0,0.0
ՇՈԿ ՌԻԹԵՌ ՍՊՈՐՏ 74,ՇՈԿ ՌԻԹԵՌ ՍՊՈՐՏ 74,101,Unknown,Clothing,0.0,0.0,0.0
ԿԱՐԱՄԵԼ ԿԱՊԼՅԱ/ԿՈՖԵ ՌՈՇԵՆ,ԿԱՐԱՄԵԼ ԿԱՊԼՅԱ/ԿՈՖԵ,101,Roshen,Other,0.0,0.0,0.0
Աթենք Խաշ 0 900գ,Խաշ 0,201,Athenk,Other,900.0,0.0,0.0
Գանձասարի մատ,Գանձասարի մատ,206,Ganjasar,Other,0.0,0.0,0.0
գանձասար կոտլետ հավի կիլո,կոտլետ հավի կիլո,207,Ganjasar,Food Products,0.0,0.0,0.0
Հավի տոտիկ Սպիտակ,Հավի տոտիկ Սպիտակ,207,Unknown,Other,0.0,0.0,0.0
Աթենք Խինկալի,Խինկալի,208,Athenk,Food Products,0.0,0.0,0.0
ԱԹԵՆՔ Պիկանտ փոքր QR,Պիկանտ փոքր QR,208,Athenk,Other,0.0,0.0,0.0
սարդելկա կգ-ով Գանձասար,սարդելկա կգ-ով,208,Ganjasar,Other,0.0,0.0,0.0
ԱԹԵՆՔ խոզի Ջերքի 30գ QR,խոզի Ջերքի QR,208,Athenk,Other,30.0,0.0,0.0
կոտլետ Գանձասար կգ,կոտլետ կգ,210,Ganjasar,Food Products,0.0,0.0,0.0
ՊԵԼՄԵՆՆԵՐ ԳԱՆՁԱՍԱՐ 0 5,ՊԵԼՄԵՆՆԵՐ 0 5,210,Ganjasar,Other,0.0,0.0,0.0
Նրբերշիկ Նյու Յորկ Աթենք 300գ,Նրբերշիկ Նյու Յորկ,210,Athenk,Food Products,300.0,0.0,0.0
Սալ ԱԹԵՆՔ,Սալ,210,Athenk,Other,0.0,0.0,0.0
նրբերշիկ Արմենիա աղքով կգ,նրբերշիկ Արմենիա աղքով կգ,210,Unknown,Food Products,0.0,0.0,0.0
կոտլետ Գանձասար հավի կգ,կոտլետ հավի կգ,210,Ganjasar,Food Products,0.0,0.0,0.0
Նրբերշիկ ԳԱՆՁԱՍԱՐ ԾԽԵՑՐԱԾ 350գր,Նրբերշիկ ԾԽԵՑՐԱԾ,210,Ganjasar,Food Products,350.0,0.0,0.0
Կաթնաշոռային պանիր Մարիաննա սերուցքային 60 18,Կաթնաշոռային պանիր սերուցքային 60 18,401,Marianna,Food Products,0.0,0.0,0.0
Մարիաննա-Մածուն 3 6прц 1800գ,-Մածուն 3 6прц,401,Marianna,Food Products,1800.0,0.0,0.0
Կաթ Մարիաննա 1 5 0 5 լ,Կաթ 1 5 0,401,Marianna,Food Products,0.0,5000.0,0.0
Մարիաննա Կաթ Ուլտրա 0 5լ,Կաթ Ուլտրա 0,401,Marianna,Food Products,0.0,5000.0,0.0
Կաթ պաստերացված 3 2 750մլ ապ տ Մարիաննա,Կաթ պաստերացված 3 2 ապ տ,401,Marianna,Food Products,0.0,750.0,0.0
ՍԵՐՈՒՑՔ ՄԱՐԻԱՆՆԱ 10 500ՄԼ,ՍԵՐՈՒՑՔ 10,401,Marianna,Other,0.0,500.0,0.0
Մարիաննա յոգուրտ բադիկ 115գ,յոգուրտ բադիկ,401,Marianna,Food Products,115.0,0.0,0.0
Կաթ Մարիաննա 1լ,Կաթ,401,Marianna,Food Products,0.0,1000.0,0.0
Կաթ Մարիաննա 3 2 450մլ թ/տ,Կաթ 3 2 թ/տ,401,Marianna,Food Products,0.0,450.0,0.0
Մարիաննա թթվասեր 18 400գր,թթվասեր 18,401,Marianna,Other,400.0,0.0,0.0
Սերուցք Մարիաննա 0 5լ հատ,Սերուցք 0 հատ,401,Marianna,Other,0.0,5000.0,0.0
Կրեմ Մարիաննա 27 500մլ,Կրեմ 27,401,Marianna,Cosmetics,0.0,500.0,0.0
Սմետան մեծ Մարիաննա,Սմետան մեծ,401,Marianna,Other,0.0,0.0,0.0
Marianna կաթնաշոռային պանիր 180գ,կաթնաշոռային պանիր,402,Marianna,Food Products,180.0,0.0,0.0
Ըմպելի Յոգուրտ Մարիաննա 1 5 27,Ըմպելի Յոգուրտ 1 5 27,403,Marianna,Food Products,0.0,0.0,0.0
ՄԱՐԻԱՆՆԱ ՄԱԾՈՒՆ ՄԵԾ,ՄԱԾՈՒՆ ՄԵԾ,403,Marianna,Food Products,0.0,0.0,0.0
Մարիաննա Կեֆիր 450գ,Կեֆիր,403,Marianna,Food Products,450.0,0.0,0.0
Յոգուրտ ըմպելի Մարիաննա 270 գ,Յոգուրտ ըմպելի,403,Marianna,Food Products,270.0,0.0,0.0
Յոqուրտ ըմպելի մարիաննա 300q ազնվամ,Յոqուրտ ըմպելի 300q ազնվամ,403,Marianna,Other,0.0,0.0,0.0
MARIANNA Yogurt pityevoy 270g,Yogurt pityevoy,403,Marianna,Clothing,270.0,0.0,0.0
Թթվասեր Մարիաննա 15 180գր,Թթվասեր 15,403,Marianna,Other,180.0,0.0,0.0
ԹԹՎԱՍԵՐ ՄԱՐԻԱՆՆԱ ԼՈՏԿԱ 200Գ,ԹԹՎԱՍԵՐ ԼՈՏԿԱ,403,Marianna,Other,200.0,0.0,0.0
Մածուն Մարիաննա Հայկական 3 2 1 8կգ,Մածուն Հայկական 3 2 1,403,Marianna,Food Products,8000.0,0.0,0.0
Յոգուրտ ըմպելի Մարիաննա Bifido 1 ծիրան-մանգո 27,Յոգուրտ ըմպելի Bifido 1 ծիրան-մանգո 27,403,Marianna,Food Products,0.0,0.0,0.0
Սերուցք 10 Մարիաննա 1լ,Սերուցք 10,403,Marianna,Other,0.0,1000.0,0.0
Հալած պանիր Մարիաննա,Հալած պանիր,403,Marianna,Food Products,0.0,0.0,0.0
Թթվասեր Մարիաննա 250գր,Թթվասեր,403,Marianna,Other,250.0,0.0,0.0
Մարիաննա կաթ 200մլ,կաթ,403,Marianna,Food Products,0.0,200.0,0.0
Մարիաննա՝Ոսկևան՝ Քամած մա,՝Ոսկևան՝ Քամած մա,403,Marianna,Other,0.0,0.0,0.0
ՅՈԳՈՒՐՏ ՄԱՐԻԱՆՆԱ ԲԱԴԻԿ 115Գ 7 ԱԶՆՎԱՄՈՐԻ,ՅՈԳՈՒՐՏ ԲԱԴԻԿ 7 ԱԶՆՎԱՄՈՐԻ,403,Marianna,Food Products,115.0,0.0,0.0
Պանիր Մարյաննա ապխտած չեչիլ,Պանիր Մարյաննա ապխտած չեչիլ,403,Unknown,Food Products,0.0,0.0,0.0
kat marianna,kat,403,Marianna,Clothing,0.0,0.0,0.0
Բիոյոգուրտ Բիֆիդո Մարիաննա 0 27 գ,Բիոյոգուրտ Բիֆիդո 0,403,Marianna,Food Products,27.0,0.0,0.0
Յոգուրտ ըմպելի Մարիաննա դեղձ մարակույա 1 5 270գ,Յոգուրտ ըմպելի դեղձ մարակույա 1 5,403,Marianna,Food Products,270.0,0.0,0.0
Շոկոլապկի կգ ռոշեն,Շոկոլապկի կգ,404,Roshen,Other,0.0,0.0,0.0
Կարաq 100q մարիաննա,Կարաq 100q,405,Marianna,Other,0.0,0.0,0.0
էլնոր կանաչ 1կգ,էլնոր կանաչ,405,Unknown,Other,1000.0,0.0,0.0
Մարիաննա Բոնմարի Շոկմարի Միքս 0 5կգ,Բոնմարի Շոկմարի Միքս 0,405,Marianna,Other,5000.0,0.0,0.0
Կարագ Մարիաննա 500գր Գյուղական,Կարագ Գյուղական,405,Marianna,Food Products,500.0,0.0,0.0
Պանիր հալած Մարիաննա դասական 100գ,Պանիր հալած դասական,406,Marianna,Food Products,100.0,0.0,0.0
ՄԱՐԻԱՆՆԱ Ջնարակված պանրիկ 40գ,Ջնարակված պանրիկ,406,Marianna,Other,40.0,0.0,0.0
ՉԵՉԻԼ ՄԱՐԻԱՆՆԱ 300ԳՐ,ՉԵՉԻԼ,406,Marianna,Other,300.0,0.0,0.0
Պանիր Մարիաննա Լոռի Վկ կգ,Պանիր Լոռի Վկ կգ,406,Marianna,Food Products,0.0,0.0,0.0
Կաթնաշոռ Մարիաննա 0 5 180գ///,Կաթնաշոռ 0 5 ///,406,Marianna,Food Products,180.0,0.0,0.0
Բիոկաթնաշոռ Մարիաննա 9 90գր,Բիոկաթնաշոռ 9,406,Marianna,Food Products,90.0,0.0,0.0
Պանիր Չանախ Մարիաննա աղաջրային հատ,Պանիր Չանախ աղաջրային հատ,406,Marianna,Food Products,0.0,0.0,0.0
